id,codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
2383,0024015110,0068,2014-05-14T05:00:00.000,12.9,LA BOYERA - AUT,CUNDINAMARCA,UBATÉ,SOGAMOSO,5.303805556,-73.85175,Temp Aire 2 m,°C
2384,0026145507,0068,2018-09-23T18:50:00.000,21.91429,LAS TANGAS  - AUT,CALDAS,BELALCAZAR,CAUCA,5.038,-75.80599722,Temp Aire 2 m,°C
2385,0023125170,0068,2013-04-08T21:00:00.000,13.9,SAN CAYETANO - AUT,CUNDINAMARCA,SAN CAYETANO,MEDIO MAGDALENA,5.333333333,-74.016666667,Temp Aire 2 m,°C
2386,0021065501,0068,2019-06-28T20:55:00.000,18.51035,JORGE VILLAMIL  - AUT,HUILA,GIGANTE,ALTO MAGDALENA,2.325552778,-75.50972222,Temp Aire 2 m,°C
2387,0021206960,0068,2012-07-21T12:00:00.000,18,IDEAM BOGOTA  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.6,-74.06666667,Temp Aire 2 m,°C
2388,0021201200,0068,2014-09-21T05:50:00.000,7.79,ESC LA UNION - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.343,-74.184,Temp Aire 2 m,°C
2389,0021202220,0068,2013-04-08T02:55:00.000,15.4,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.05,Temp Aire 2 m,°C
2390,0035085080,0068,2010-08-21T10:00:00.000,17.2,LA CAPILLA - AUT,BOYACÁ,LA CAPILLA,META,5.099194444,-73.436,Temp Aire 2 m,°C
2391,0026145507,0068,2018-12-04T17:25:00.000,23.43967,LAS TANGAS  - AUT,CALDAS,BELALCAZAR,CAUCA,5.038,-75.80599722,Temp Aire 2 m,°C
2392,0029035200,0068,2018-03-03T09:00:00.000,28.2,REPELON - AUT,ATLANTICO,REPELÓN,BAJO MAGDALENA,10.49,-75.12694444,Temp Aire 2 m,°C
2393,0021206930,0068,2005-03-29T14:00:00.000,17.7,PARAMO GUERRERO  - AUT,CUNDINAMARCA,ZIPAQUIRÁ,ALTO MAGDALENA,5.086444444,-74.02216667,Temp Aire 2 m,°C
2394,0029004520,0068,2012-03-06T08:00:00.000,0,ESCUELA NAVAL BARRANQUILLA  - AUT,ATLANTICO,BARRANQUILLA,BAJO MAGDALENA,11.00638889,-74.785,Temp Aire 2 m,°C
2395,0035085080,0068,2016-03-01T16:00:00.000,22.9,LA CAPILLA - AUT,BOYACÁ,LA CAPILLA,META,5.099194444,-73.436,Temp Aire 2 m,°C
2396,0052025501,0068,2019-02-27T23:40:00.000,16.79213,LA VEGA  - AUT,CAUCA,LA VEGA,PATÍA,2.092941667,-76.81202778,Temp Aire 2 m,°C
2397,0026180180,0068,2018-08-01T12:00:00.000,21,SONSON,ANTIOQUIA,SONSÓN,CAUCA,5.71525,-75.2945,Temp Aire 2 m,°C
2398,0052055502,0068,2019-03-02T12:00:00.000,25.19438,SANDONA  - AUT,NARIÑO,SANDONÁ,PATÍA,1.300888889,-77.46035833,Temp Aire 2 m,°C
2399,0021202230,0068,2015-07-27T01:10:00.000,13.7,UAN SEDE USME - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.467,-74.117,Temp Aire 2 m,°C
