id,codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
0,0026155230,0068,2012-01-18T20:00:00.000,0,EMAS - AUT,CALDAS,MANIZALES,CAUCA,5.08525,-75.50713889,Temp Aire 2 m,°C
1,0023125501,0068,2018-08-17T23:55:00.000,19.41672,PAUNA  - AUT,BOYACÁ,PAUNA,MEDIO MAGDALENA,5.657130556,-73.96032778,Temp Aire 2 m,°C
2,0026145090,0068,2018-02-03T00:00:00.000,16.3,SANTA EMILIA - AUT,RISARALDA,BELÉN DE UMBRÍA,CAUCA,5.207472222,-75.90294444,Temp Aire 2 m,°C
3,0023065503,0068,2016-07-09T07:10:00.000,20.2,EL MIRADOR  - AUT,CUNDINAMARCA,SASAIMA,MEDIO MAGDALENA,4.95,-74.4,Temp Aire 2 m,°C
4,0021202180,0068,2013-09-29T15:15:00.000,16.2,QUIBA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.543,-74.156,Temp Aire 2 m,°C
5,2120700037,0068,2019-05-10T18:58:00.000,15.7,CASAS FISCALES ESCUELA DE ARTILLERÍA - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.556,-74.125,Temp Aire 2 m,°C
6,0021215180,0068,2011-09-10T13:00:00.000,25.5,BATALLON ROOKE  - AUT,TOLIMA,IBAGUÉ,ALTO MAGDALENA,4.418388889,-75.24866667,Temp Aire 2 m,°C
7,0023085501,0068,2016-07-28T20:40:00.000,19.8,COCORNA  - AUT,ANTIOQUIA,COCORNÁ,MEDIO MAGDALENA,6.061941667,-75.18666667,Temp Aire 2 m,°C
8,0021015070,0068,2016-09-11T18:00:00.000,14.8,LOS GUACHAROS  - AUT,HUILA,PALESTINA,ALTO MAGDALENA,1.675833,-76.106841,Temp Aire 2 m,°C
9,0021202230,0068,2015-05-09T21:30:00.000,14.6,UAN SEDE USME - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.467,-74.117,Temp Aire 2 m,°C
10,0026115501,0068,2019-06-09T11:05:00.000,25.61687,MANUEL MARIA MALLARINO  - AUT,VALLE DEL CAUCA,TRUJILLO,CAUCA,4.213611111,-76.31497222,Temp Aire 2 m,°C
11,0026155502,0068,2019-03-07T04:45:00.000,20.09708,CENICAFE  - AUT,CALDAS,MANIZALES,CAUCA,4.991111111,-75.59749722,Temp Aire 2 m,°C
12,0026155505,0068,2017-04-23T15:35:00.000,33.4,GRANJA LUKER  - AUT,CALDAS,PALESTINA,CAUCA,5.070275,-75.68555278,Temp Aire 2 m,°C
13,0021208480,0068,2015-04-29T02:00:00.000,14.7,KENNEDY - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.633,-74.15,Temp Aire 2 m,°C
14,2120000102,0068,2019-02-05T14:19:00.000,18.26,COLEGIO CARLOS PIZARRO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.635,-74.205,Temp Aire 2 m,°C
15,0053115501,0068,2019-07-28T23:10:00.000,18.6876,DAGUA  - AUT,VALLE DEL CAUCA,DAGUA,TAPAJE - DAGUA - DIRECTOS,3.610441667,-76.63785833,Temp Aire 2 m,°C
16,0052035040,0068,2009-11-28T01:00:00.000,21.3,VIENTO LIBRE - AUT,NARIÑO,TAMINANGO,PATÍA,1.6185,-77.34361111,Temp Aire 2 m,°C
17,0026015010,0068,2007-08-26T06:00:00.000,15.2,EL TABLAZO - AUT,CAUCA,POPAYÁN,CAUCA,2.474833056,-76.58129361,Temp Aire 2 m,°C
18,0026135330,0068,2019-04-20T11:00:00.000,10.5,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,CAUCA,4.776361111,-75.4125,Temp Aire 2 m,°C
19,0021055501,0068,2017-09-13T22:55:00.000,18.0792,SIMON CAMPOS  - AUT,HUILA,LA PLATA,ALTO MAGDALENA,2.345830556,-75.87805556,Temp Aire 2 m,°C
20,0026155260,0068,2016-09-20T23:00:00.000,2.3,SENDERO LAGUNA VERDE  - AUT,CALDAS,VILLAMARIA,CAUCA,4.840666667,-75.36161111,Temp Aire 2 m,°C
21,0052015501,0068,2018-01-22T22:30:00.000,17.6001,BALBOA  - AUT,CAUCA,BALBOA,PATÍA,2.125191667,-77.19266667,Temp Aire 2 m,°C
22,0026225060,0068,2015-06-05T21:00:00.000,24.4,HACIENDA COTOVE - AUT,ANTIOQUIA,SANTA FE DE ANTIOQUIA,CAUCA,6.533916667,-75.82733333,Temp Aire 2 m,°C
23,0021237060,0068,2019-05-15T22:00:00.000,22.284,CORRALITOS PULI,CUNDINAMARCA,PULÍ,ALTO MAGDALENA,4.633,-74.65,Temp Aire 2 m,°C
24,0054035501,0068,2018-02-24T21:35:00.000,15.61811,SANTIAGO GUTIERREZ  - AUT,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.726388889,-76.11446944,Temp Aire 2 m,°C
25,0021201200,0068,2011-01-09T01:00:00.000,9.27,ESC LA UNION - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.343,-74.184,Temp Aire 2 m,°C
26,0026165501,0068,2018-04-13T12:45:00.000,26.54986,EL CIPRES  - AUT,CALDAS,SALAMINA,CAUCA,5.433333333,-75.5,Temp Aire 2 m,°C
27,2120000105,0068,2019-06-28T08:55:00.000,12.47,EL CODITO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.763,-74.022,Temp Aire 2 m,°C
28,0016015502,0068,2017-05-12T05:35:00.000,17.6,BLONAY  - AUT,NORTE DE SANTANDER,CHINÁCOTA,CATATUMBO,7.564997222,-72.62110833,Temp Aire 2 m,°C
29,0026145503,0068,2017-02-27T12:00:00.000,24.6,ANSERMA  - AUT,CALDAS,ANSERMA,CAUCA,5.231330556,-75.77961667,Temp Aire 2 m,°C
30,0052045080,0068,2007-01-05T01:00:00.000,11.6,UNIVERSIDAD DE NARINO  - AUT,NARIÑO,PASTO,PATÍA,1.225111111,-77.28338889,Temp Aire 2 m,°C
31,2120000105,0068,2019-02-28T14:21:00.000,16.68,EL CODITO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.763,-74.022,Temp Aire 2 m,°C
32,0037015030,0068,2009-07-05T07:00:00.000,6.6,BERLIN - AUT,SANTANDER,TONA,ARAUCA,7.187,-72.8685,Temp Aire 2 m,°C
33,0021202250,0068,2013-04-24T02:05:00.000,14.1,DOÑA JUANA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.5,-74.133,Temp Aire 2 m,°C
34,0023190700,0068,2019-05-01T07:00:00.000,20.8,PIEDECUESTA GRANJA,SANTANDER,PIEDECUESTA,MEDIO MAGDALENA,6.993333333,-73.06777778,Temp Aire 2 m,°C
35,0035025080,0068,2014-03-20T19:00:00.000,9.1,PNN CHINGAZA - AUT,CUNDINAMARCA,LA CALERA,META,4.661,-73.82733333,Temp Aire 2 m,°C
36,0022045502,0068,2018-09-18T19:10:00.000,20.72489,EL RUBY  - AUT,TOLIMA,PLANADAS,SALDAÑA,3.95,-75.66666667,Temp Aire 2 m,°C
37,0021015502,0068,2017-05-20T09:25:00.000,21.7,SAN AGUSTIN  - AUT,HUILA,SAN AGUSTÍN,ALTO MAGDALENA,1.851416667,-76.30433056,Temp Aire 2 m,°C
38,0035025110,0068,2018-10-04T21:00:00.000,24.8,LA LIBERTAD - AUT,META,VILLAVICENCIO,META,4.057361111,-73.46791667,Temp Aire 2 m,°C
39,2120000106,0068,2019-01-22T09:26:00.000,10.18,GRAN BRETAÑA - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.512,-74.164,Temp Aire 2 m,°C
40,0021202220,0068,2012-05-08T23:40:00.000,14.2,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.05,Temp Aire 2 m,°C
41,0021206940,0068,2008-10-04T09:00:00.000,15.2,CIUDAD BOLIVAR,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.577,-74.177,Temp Aire 2 m,°C
42,0021085501,0068,2019-02-18T16:15:00.000,26.22671,TERUEL  - AUT,HUILA,TERUEL,ALTO MAGDALENA,2.762997222,-75.61144167,Temp Aire 2 m,°C
43,0016015120,0068,2013-12-23T07:00:00.000,10.3,UNIVERSIDAD DE PAMPLONA  - AUT,NORTE DE SANTANDER,PAMPLONA,CATATUMBO,7.360944444,-72.66605556,Temp Aire 2 m,°C
44,0015085050,0068,2011-02-24T14:00:00.000,26.1,TOROMANA - AUT,LA GUAJIRA,URIBIA,CARIBE - GUAJIRA,12.08352778,-71.21094444,Temp Aire 2 m,°C
45,0016055501,0068,2019-07-21T06:00:00.000,17.27189,GABRIEL MARIA  - AUT,NORTE DE SANTANDER,CONVENCIÓN,CATATUMBO,8.412497222,-73.33944167,Temp Aire 2 m,°C
46,0026125290,0068,2006-01-06T21:00:00.000,17.2,ARMENIA - AUT,QUINDÍO,ARMENIA,CAUCA,4.531583333,-75.69069444,Temp Aire 2 m,°C
47,0026125504,0068,2019-05-05T04:00:00.000,19.84608,PARAGUAICITO  - AUT,QUINDÍO,BUENAVISTA,CAUCA,4.395555556,-75.73416667,Temp Aire 2 m,°C
48,0021215150,0068,2010-04-16T08:00:00.000,1.7,NEVADO DEL TOLIMA  - AUT,TOLIMA,ANZOÁTEGUI,ALTO MAGDALENA,4.670777778,-75.32777778,Temp Aire 2 m,°C
49,0025025002,0068,2016-07-25T06:00:00.000,22.5,LOS ALAMOS,MAGDALENA,SAN SEBASTIÁN DE BUENAVISTA,BAJO MAGDALENA,9.304,-74.274,Temp Aire 2 m,°C
50,0013055040,0068,2006-01-24T18:00:00.000,29.8,INCODER - AUT,CORDOBA,MONTERÍA,SINÚ,8.746944444,-75.91388889,Temp Aire 2 m,°C
51,0026085170,0068,2013-11-17T19:00:00.000,25.5,BASE AEREA MARCO FIDEL SUAREZ  - AUT,VALLE DEL CAUCA,CALI,CAUCA,3.4545,-76.49972222,Temp Aire 2 m,°C
52,0021215501,0068,2019-08-07T01:00:00.000,16.78306,ESPERANZA LA  - AUT,TOLIMA,IBAGUÉ,ALTO MAGDALENA,4.45,-75.25,Temp Aire 2 m,°C
53,0024015501,0068,2017-06-04T02:05:00.000,14.92578,BERTHA  - AUT,BOYACÁ,MONIQUIRÁ,SOGAMOSO,5.882777778,-73.57333056,Temp Aire 2 m,°C
54,0016040050,0068,2019-06-10T03:00:00.000,14.8,LA MARIA - AUT,NORTE DE SANTANDER,ÁBREGO,CATATUMBO,7.934444444,-73.21166667,Temp Aire 2 m,°C
55,0021185501,0068,2018-11-05T15:35:00.000,20.67853,ROVIRA  - AUT,TOLIMA,ROVIRA,ALTO MAGDALENA,4.266666667,-75.28305556,Temp Aire 2 m,°C
56,0021206780,0068,2013-04-24T01:20:00.000,15.5,LA INDEPENDENCIA FOPAE Fuera de Servicio,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.317,Temp Aire 2 m,°C
57,0027015290,0068,2018-08-21T14:00:00.000,24.2,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C
58,0026145501,0068,2019-08-19T05:30:00.000,17.30708,APIA  - AUT,RISARALDA,APÍA,CAUCA,5.105055556,-75.93305556,Temp Aire 2 m,°C
59,0026155240,0068,2008-07-29T17:00:00.000,9.6,PNN NEVADOS - AUT,CALDAS,VILLAMARIA,CAUCA,4.859444444,-75.38241667,Temp Aire 2 m,°C
60,0026165501,0068,2018-03-18T09:40:00.000,20.2428,EL CIPRES  - AUT,CALDAS,SALAMINA,CAUCA,5.433333333,-75.5,Temp Aire 2 m,°C
61,0013085050,0068,2006-01-31T13:00:00.000,32.4,LORICA ITA - En Siniestro,CÓRDOBA,LORICA,SINÚ,9.253,-75.844,Temp Aire 2 m,°C
62,0021085501,0068,2019-04-14T18:15:00.000,21.91832,TERUEL  - AUT,HUILA,TERUEL,ALTO MAGDALENA,2.762997222,-75.61144167,Temp Aire 2 m,°C
63,0054050010,0068,2018-12-13T02:00:00.000,25,PR CHOCO: NOANAMA,CHOCÓ,ISTMINA,SAN JUÁN,4.717,-76.917,Temp Aire 2 m,°C
64,0026035100,0068,2008-05-07T06:00:00.000,14.1,SUECIA HDA,CAUCA,EL TAMBO,CAUCA,2.48,-76.828,Temp Aire 2 m,°C
65,0023065190,0068,2010-09-28T21:00:00.000,22.1,QUEBRADA NEGRA - AUT,CUNDINAMARCA,QUEBRADANEGRA,MEDIO MAGDALENA,5.137611111,-74.48125,Temp Aire 2 m,°C
66,0026145507,0068,2019-05-09T21:20:00.000,17.9573,LAS TANGAS  - AUT,CALDAS,BELALCAZAR,CAUCA,5.038,-75.80599722,Temp Aire 2 m,°C
67,0021202220,0068,2013-10-19T10:10:00.000,28.5,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.05,Temp Aire 2 m,°C
68,0026135503,0068,2018-04-21T14:00:00.000,29.72625,NARANJAL  - AUT,CALDAS,CHINCHINA,CAUCA,4.971944444,-75.65221944,Temp Aire 2 m,°C
69,0024015501,0068,2016-08-26T09:30:00.000,20.6,BERTHA  - AUT,BOYACÁ,MONIQUIRÁ,SOGAMOSO,5.882777778,-73.57333056,Temp Aire 2 m,°C
70,0026225060,0068,2014-03-31T22:00:00.000,29.9,HACIENDA COTOVE - AUT,ANTIOQUIA,SANTA FE DE ANTIOQUIA,CAUCA,6.533916667,-75.82733333,Temp Aire 2 m,°C
71,0052055150,0068,2010-04-16T13:00:00.000,9.6,CERRO PARAMO  - AUT,NARIÑO,PUERRES,PATÍA,0.843111111,-77.38880556,Temp Aire 2 m,°C
72,0035027510,0068,2018-01-31T15:00:00.000,19.2,CALOSTROS BAJO - AUT,CUNDINAMARCA,LA CALERA,META,4.6645,-73.863083333,Temp Aire 2 m,°C
73,0024015501,0068,2019-07-09T09:35:00.000,20.59422,BERTHA  - AUT,BOYACÁ,MONIQUIRÁ,SOGAMOSO,5.882777778,-73.57333056,Temp Aire 2 m,°C
74,0035025501,0068,2017-07-19T20:50:00.000,16.15257,QUETAME  - AUT,CUNDINAMARCA,QUETAME,META,4.297941667,-73.87238889,Temp Aire 2 m,°C
75,0026145504,0068,2017-06-03T17:45:00.000,22.07297,OSPIRMA  - AUT,RISARALDA,GUÁTICA,CAUCA,5.325552778,-75.812775,Temp Aire 2 m,°C
76,0036015020,0068,2009-01-25T05:00:00.000,21,EL DIAMANTE - AUT,CASANARE,PAZ DE ARIPORO,META,5.816194444,-71.41983333,Temp Aire 2 m,°C
77,0023085501,0068,2019-05-12T07:55:00.000,20.04236,COCORNA  - AUT,ANTIOQUIA,COCORNÁ,MEDIO MAGDALENA,6.061941667,-75.18666667,Temp Aire 2 m,°C
78,0027015501,0068,2018-05-18T12:20:00.000,23.22544,YOLOMBO  - AUT,ANTIOQUIA,YOLOMBÓ,NECHÍ,6.580958333,-75.11487778,Temp Aire 2 m,°C
79,0026155230,0068,2018-05-25T23:00:00.000,16.3,EMAS - AUT,CALDAS,MANIZALES,CAUCA,5.08525,-75.50713889,Temp Aire 2 m,°C
80,0026145501,0068,2018-05-06T02:30:00.000,16.09272,APIA  - AUT,RISARALDA,APÍA,CAUCA,5.105055556,-75.93305556,Temp Aire 2 m,°C
81,0026155505,0068,2017-05-27T14:15:00.000,29.8,GRANJA LUKER  - AUT,CALDAS,PALESTINA,CAUCA,5.070275,-75.68555278,Temp Aire 2 m,°C
82,2120000107,0068,2019-02-02T05:45:00.000,9.76,LA FISCALA - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.536,-74.106,Temp Aire 2 m,°C
83,0054035501,0068,2018-06-02T20:50:00.000,18.85179,SANTIAGO GUTIERREZ  - AUT,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.726388889,-76.11446944,Temp Aire 2 m,°C
84,0026135320,0068,2019-04-20T03:00:00.000,1.3,NEVADO SANTA ISABEL  - AUT,CALDAS,VILLAMARIA,CAUCA,4.802611111,-75.38047222,Temp Aire 2 m,°C
85,0021205521,0068,2019-06-24T13:20:00.000,12.565,SANTA HELENA  - AUT,CUNDINAMARCA,LA CALERA,ALTO MAGDALENA,4.738,-73.936,Temp Aire 2 m,°C
86,0024015507,0068,2019-02-06T19:50:00.000,11.233,OJO DE AGUA  - AUT,CUNDINAMARCA,SIMIJACA,SOGAMOSO,5.392,-73.854,Temp Aire 2 m,°C
87,0011025501,0068,2017-12-06T23:10:00.000,17.59936,CARMEN DE ATRATO  - AUT,CHOCO,EL CARMEN,ATRATO - DARIÉN,5.888719444,-76.14516667,Temp Aire 2 m,°C
88,0023125501,0068,2018-03-20T11:00:00.000,22.66222,PAUNA  - AUT,BOYACÁ,PAUNA,MEDIO MAGDALENA,5.657130556,-73.96032778,Temp Aire 2 m,°C
89,0011025501,0068,2017-07-19T02:20:00.000,16.38958,CARMEN DE ATRATO  - AUT,CHOCO,EL CARMEN,ATRATO - DARIÉN,5.888719444,-76.14516667,Temp Aire 2 m,°C
90,0054077210,0068,2008-04-02T16:00:00.000,28.3,JUANCHACO - AUT,VALLE DEL CAUCA,BUENAVENTURA,SAN JUÁN,3.925147222,-77.34900556,Temp Aire 2 m,°C
91,0021055501,0068,2019-04-25T09:00:00.000,19.55796,SIMON CAMPOS  - AUT,HUILA,LA PLATA,ALTO MAGDALENA,2.345830556,-75.87805556,Temp Aire 2 m,°C
92,0021201980,0068,2013-01-06T02:20:00.000,9.4,CERRO GUADALUPE - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.567,-74.05,Temp Aire 2 m,°C
93,0026145504,0068,2019-03-29T10:55:00.000,21.5556,OSPIRMA  - AUT,RISARALDA,GUÁTICA,CAUCA,5.325552778,-75.812775,Temp Aire 2 m,°C
94,0026125505,0068,2017-11-07T06:55:00.000,18.25705,LA BELLA  - AUT,QUINDÍO,CALARCÁ,CAUCA,4.501111111,-75.67138889,Temp Aire 2 m,°C
95,0023015501,0068,2017-05-14T20:30:00.000,21.1,FRESNO  - AUT,TOLIMA,FRESNO,MEDIO MAGDALENA,5.155638889,-75.00313611,Temp Aire 2 m,°C
96,0035025110,0068,2017-08-14T21:00:00.000,26.2,LA LIBERTAD - AUT,META,VILLAVICENCIO,META,4.057361111,-73.46791667,Temp Aire 2 m,°C
97,0023035030,0068,2018-09-07T04:00:00.000,23,BASE PALANQUERO  - AUT,CUNDINAMARCA,PUERTO SALGAR,MEDIO MAGDALENA,5.492861111,-74.658,Temp Aire 2 m,°C
98,0023015501,0068,2017-10-31T17:40:00.000,20.67748,FRESNO  - AUT,TOLIMA,FRESNO,MEDIO MAGDALENA,5.155638889,-75.00313611,Temp Aire 2 m,°C
99,0029015040,0068,2007-09-25T13:00:00.000,30.7,CARMEN DE BOLIVAR  - AUT,BOLIVAR,EL CARMÉN DE BOLÍVAR,BAJO MAGDALENA,9.71575,-75.10641667,Temp Aire 2 m,°C
100,2120000104,0068,2019-03-08T07:39:00.000,10.18,COLEGIO MIGUEL ANTONIO CARO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.813,-74.031,Temp Aire 2 m,°C
101,0053115502,0068,2017-11-03T04:25:00.000,17.34283,JULIO FERNANDEZ  - AUT,VALLE DEL CAUCA,RESTREPO,TAPAJE - DAGUA - DIRECTOS,3.809163889,-76.53305556,Temp Aire 2 m,°C
102,0026125505,0068,2018-07-28T10:50:00.000,22.25571,LA BELLA  - AUT,QUINDÍO,CALARCÁ,CAUCA,4.501111111,-75.67138889,Temp Aire 2 m,°C
103,0048015010,0068,2018-06-19T23:00:00.000,21.7,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,<nil>,-4.194,-69.941,Temp Aire 2 m,°C
104,2120000105,0068,2018-11-14T08:35:00.000,13.09,EL CODITO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.763,-74.022,Temp Aire 2 m,°C
105,0024025501,0068,2017-11-30T12:40:00.000,25.7528,ALBERTO SANTOS  - AUT,SANTANDER,SOCORRO,SOGAMOSO,6.493052778,-73.22111111,Temp Aire 2 m,°C
106,0021085501,0068,2018-03-13T01:30:00.000,19.38339,TERUEL  - AUT,HUILA,TERUEL,ALTO MAGDALENA,2.762997222,-75.61144167,Temp Aire 2 m,°C
107,0052055210,0068,2014-11-04T00:00:00.000,11,BOTANA - AUT,NARIÑO,PASTO,PATÍA,1.16,-77.27880556,Temp Aire 2 m,°C
108,2120000106,0068,2019-05-22T22:04:00.000,9.33,GRAN BRETAÑA - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.512,-74.164,Temp Aire 2 m,°C
109,0011025501,0068,2017-10-20T23:25:00.000,18.24723,CARMEN DE ATRATO  - AUT,CHOCO,EL CARMEN,ATRATO - DARIÉN,5.888719444,-76.14516667,Temp Aire 2 m,°C
110,0026135503,0068,2019-02-06T21:05:00.000,22.45935,NARANJAL  - AUT,CALDAS,CHINCHINA,CAUCA,4.971944444,-75.65221944,Temp Aire 2 m,°C
111,0023195230,0068,2017-10-09T09:00:00.000,24.5,NEOMUNDO - AUT,SANTANDER,BUCARAMANGA,MEDIO MAGDALENA,7.102611111,-73.10730556,Temp Aire 2 m,°C
112,0021205516,0068,2018-11-14T22:00:00.000,14.754,NEGRETE  - AUT,CUNDINAMARCA,PACHO,ALTO MAGDALENA,5.173,-73.852,Temp Aire 2 m,°C
113,0021202180,0068,2012-06-02T09:10:00.000,14.5,QUIBA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.543,-74.156,Temp Aire 2 m,°C
114,0021255170,0068,2013-11-26T19:00:00.000,10.4,MURILLO - AUT,TOLIMA,MURILLO,ALTO MAGDALENA,4.870555556,-75.17327778,Temp Aire 2 m,°C
115,2403500085,0068,2019-07-24T23:00:00.000,12.1,SUSA - AUT,SANTANDER,ONZAGA,SOGAMOSO,6.187794444,-72.835602778,Temp Aire 2 m,°C
116,0024035410,0068,2018-03-02T10:27:00.000,43.5,SOGAMOSO - AUT,BOYACÁ,SOGAMOSO,SOGAMOSO,5.753333333,-72.91115278,Temp Aire 2 m,°C
117,0021206810,0068,2013-11-23T21:15:00.000,16.8,SAN BENITO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.55,-74.233,Temp Aire 2 m,°C
118,0021202220,0068,2012-07-31T08:40:00.000,25.7,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.05,Temp Aire 2 m,°C
119,0016055501,0068,2016-07-12T13:10:00.000,26.5,GABRIEL MARIA  - AUT,NORTE DE SANTANDER,CONVENCIÓN,CATATUMBO,8.412497222,-73.33944167,Temp Aire 2 m,°C
120,0026085170,0068,2008-10-01T10:00:00.000,25.7,BASE AEREA MARCO FIDEL SUAREZ  - AUT,VALLE DEL CAUCA,CALI,CAUCA,3.4545,-76.49972222,Temp Aire 2 m,°C
121,0035225030,0068,2019-05-08T23:00:00.000,23.6,PERENCO: MODULOS,CASANARE,OROCUÉ,META,4.91,-71.433,Temp Aire 2 m,°C
122,0026175502,0068,2017-07-12T13:10:00.000,31.02381,LA CRISTALINA  - AUT,ANTIOQUIA,TÁMESIS,CAUCA,5.7,-75.65999722,Temp Aire 2 m,°C
123,0036015501,0068,2017-11-08T22:55:00.000,20.51854,TAMARA  - AUT,CASANARE,TÁMARA,CASANARE,5.872219444,-72.11944167,Temp Aire 2 m,°C
124,0026125509,0068,2016-09-07T18:25:00.000,17.8,ESPERANZA LA  - AUT,QUINDÍO,PIJAO,CAUCA,4.299444444,-75.72508056,Temp Aire 2 m,°C
125,0026055100,0068,2019-03-02T12:00:00.000,22.6,FARALLONES - AUT,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,Temp Aire 2 m,°C
126,0024035360,0068,2013-10-28T02:00:00.000,12.7,SOCHA - AUT,BOYACÁ,SOCHA,SOGAMOSO,5.985416667,-72.99702778,Temp Aire 2 m,°C
127,0021202250,0068,2015-02-23T00:20:00.000,12.6,DOÑA JUANA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.5,-74.133,Temp Aire 2 m,°C
128,0026135300,0068,2003-07-07T18:59:05.000,0,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,CAUCA,4.761916667,-75.74491667,Temp Aire 2 m,°C
129,0021202220,0068,2012-04-21T07:35:00.000,15,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.05,Temp Aire 2 m,°C
130,0035215020,0068,2012-04-29T12:00:00.000,31.4,APTO YOPAL,CASANARE,YOPAL,META,5.32,-72.388,Temp Aire 2 m,°C
131,0023025502,0068,2018-03-20T11:15:00.000,8.571178,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,MEDIO MAGDALENA,5.044997222,-75.33221944,Temp Aire 2 m,°C
132,0026145505,0068,2019-04-30T11:40:00.000,29.57733,LA FLORESTA  - AUT,CALDAS,BELALCAZAR,CAUCA,4.979219444,-75.83555556,Temp Aire 2 m,°C
133,0052015501,0068,2019-02-24T02:50:00.000,16.26794,BALBOA  - AUT,CAUCA,BALBOA,PATÍA,2.125191667,-77.19266667,Temp Aire 2 m,°C
134,0021202180,0068,2011-02-15T06:30:00.000,12.7,QUIBA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.543,-74.156,Temp Aire 2 m,°C
135,0021206780,0068,2014-03-23T21:00:00.000,15.4,LA INDEPENDENCIA FOPAE Fuera de Servicio,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.317,Temp Aire 2 m,°C
136,0026085170,0068,2007-08-07T16:00:00.000,26.5,BASE AEREA MARCO FIDEL SUAREZ  - AUT,VALLE DEL CAUCA,CALI,CAUCA,3.4545,-76.49972222,Temp Aire 2 m,°C
137,0026065501,0068,2018-10-08T04:00:00.000,14.80632,JAMUNDI  - AUT,VALLE DEL CAUCA,JAMUNDÍ,CAUCA,3.215580556,-76.68021944,Temp Aire 2 m,°C
138,2120000104,0068,2019-08-18T15:05:00.000,17.4,COLEGIO MIGUEL ANTONIO CARO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.813,-74.031,Temp Aire 2 m,°C
139,2120000104,0068,2019-05-12T06:45:00.000,11.16,COLEGIO MIGUEL ANTONIO CARO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.813,-74.031,Temp Aire 2 m,°C
140,0026145508,0068,2017-11-03T16:10:00.000,20.95373,SAN JOSE  - AUT,CALDAS,SAN JOSE,CAUCA,5.094972222,-75.79174722,Temp Aire 2 m,°C
141,0037015501,0068,2018-05-20T10:30:00.000,11.16613,LABATECA  - AUT,NORTE DE SANTANDER,LABATECA,ARAUCA,7.296058333,-72.49772778,Temp Aire 2 m,°C
142,0026185030,0068,2009-06-12T22:00:00.000,15.4,JERICO - AUT,ANTIOQUIA,JERICÓ,CAUCA,5.799166667,-75.78952778,Temp Aire 2 m,°C
143,0026195502,0068,2016-08-27T00:40:00.000,17.7,CIUDAD BOLIVAR  - AUT,ANTIOQUIA,CIUDAD BOLÍVAR,CAUCA,5.868666667,-75.99044167,Temp Aire 2 m,°C
